,state,case count,latitude,longitude
1,Alabama,53,32.318231,-86.902298
2,Alaska,3,63.588753,-154.493062
3,Arizona,281,34.048928,-111.093731
4,Arkansas,28,35.20105,-91.831833
5,California,3291,36.778261,-119.417932
6,Colorado,189,39.550051,-105.782067
7,Connecticut,89,41.603221,-73.087749
8,Delaware,21,38.910832,-75.52767
9,District of Columbia,414,38.905985,-77.033418
10,Florida,1739,27.664827,-81.515754
11,Georgia,1299,32.157435,-82.907123
12,Hawaii,15,19.898682,-155.665857
13,Idaho,9,44.068202,-114.742041
14,Illinois,1005,40.633125,-89.398528
15,Indiana,147,40.551217,-85.602364
16,Iowa,18,41.878003,-93.097702
17,Kansas,5,39.011902,-98.484246
18,Kentucky,27,37.839333,-84.270018
19,Louisiana,162,31.244823,-92.145024
20,Maine,5,45.253783,-69.445469
21,Maryland,461,39.045755,-76.641271
22,Massachusetts,280,42.407211,-71.382437
23,Michigan,165,44.314844,-85.602364
24,Minnesota,109,46.729553,-94.6859
25,Mississippi,29,32.354668,-89.398528
26,Missouri,42,37.964253,-91.831833
27,Montana,3,46.879682,-110.362566
28,Nebraska,25,41.492537,-99.901813
29,Nevada,127,38.80261,-116.419389
30,New Hampshire,19,43.193852,-71.572395
31,New Jersey,479,40.058324,-74.405661
32,New Mexico,23,34.97273,-105.032363
33,New York,3124,43.299428,-74.217933
34,Non-US Resident,3,35.759573,-79.0193
35,North Carolina,288,47.551493,-101.002012
36,North Dakota,4,40.417287,-82.907123
37,Ohio,151,35.007752,-97.092877
38,Oklahoma,22,43.804133,-120.554201
39,Oregon,141,41.203322,-77.194525
40,Pennsylvania,477,18.220833,-66.590149
41,Puerto Rico,97,41.580095,-71.477429
42,Rhode Island,42,33.836081,-81.163725
43,South Carolina,100,43.969515,-99.901813
44,South Dakota,2,35.517491,-86.580447
45,Tennessee,156,31.968599,-99.901813
46,Texas,1472,39.32098,-111.093731
47,Total,17432,44.558803,-72.577841
48,Utah,93,37.431573,-78.656894
49,Vermont,2,47.751074,-120.740139
50,Virginia,302,38.597626,-80.454903
51,Washington,332,43.78444,-88.787868
52,West Virginia,5,43.075968,-107.290284
53,Wisconsin,56,,
54,Wyoming,1,,
